"DATE"	"PERMNO"	"CUSIP"	"COMPANY.NAME"	"TICKER"	"EXCHANGE"	"ZLIST"	"SHARE.CLASS"	"SIC"	"GICS"	"PRICE"	"RETURN"	"VOLUME"	"SHARES.OUT"	"MARKET.EQUITY"	"CASH.SHTINVEST"	"CURRENT.ASSETS"	"CURRENT.LIABILITIES"	"TOTAL.ASSETS"	"LTDEBT"	"PREFSTK.LIQUIDATE"	"NET.SALES"	"OPERINC.BEFOREDEP"	"DEPRECIATION.AMORTIZATION"	"INTEREST.EXPENSE"	"INCOME.BEFORE.EI"	"PREF.DIVIDENDS"	"DEFER.TAXES.INVEST.CREDIT"	"DEFER.TAXES.INCOME.AMT"	"EPS.INCLUDE.EI"	"PREFSTK.REDEMPTION"	"EPS.EXCLUDE.EI"	"COMMON.EQUITY"	"DEFER.TAXES"	"PREFSTK.CARRY"	"NET.INCOME"	"OPERINC.AFTERDEP"	"TOTAL.LIABILITIES"	"STOCKHOLDERS.EQUITY"	"CURRENT"	"QUICK"	"DtoA"	"DtoE"	"ROA"	"ROE"	"PE"	"Sector"	"Industry"
20031231	26403	"25468710"	"DISNEY WALT CO"	"DIS"	1	1	11	7996	25401030	23.329999924	0.0194889456	1755663	2045364	47718.341964	1583	8314	8669	49988	10987	0	27061	3790	1077	699	1338	0	2712	488	0.62	0	0.65	23791	2712	0	1267	2713	26197	23791	0.959049486676664	1.14165417003115	0.524065775786189	1.10113067966878	0.0253460830599344	0.0532554327266613	35.8923075753846	"Consumer Discretionary"	"Media"
20031231	89525	"20030N10"	"COMCAST CORP NEW"	"CMCSA"	3	21	11	4841	25401020	32.790000916	0.0376582444	1483395	1357521	44513.114833	4043	5403	9654	109159	23835	0	18348	5120	3166	2018	-218	0	25900	820	1.44	0	-0.1	41662	25900	0	3240	1954	67497	41662	0.559664387818521	0.97845452662109	0.618336554933629	1.62010945225865	0.0296814738134281	0.0777687100955307	-327.90000916	"Consumer Discretionary"	"Media"
20031231	66181	"43707610"	"HOME DEPOT INC"	"HD"	1	1	11	5211	25504030	35.490001678	-0.032644089	1932996	2275216	80747.419659	2253	11917	8035	30011	1321	0	58247	6733	903	96	3664	0	362	173	1.57	0	1.57	19802	362	0	3664	5830	10209	19802	1.48313627878034	1.76353453640324	0.340175269068008	0.515553984446016	0.122088567525241	0.185031814968185	22.6050966101911	"Consumer Discretionary"	"Retailing"
20031231	43449	"58013510"	"MCDONALDS CORP"	"MCD"	1	1	11	5812	25301040	24.829999924	-0.031213393	1472843	1269164	31513.342023	492.8	1885.4	2485.8	25525.1	9342.5	0	17140.5	4477.1	1113.3	395.8	1508.2	0	1015.1	181.4	1.16	0	1.19	11981.9	1015.1	0	1471.4	3363.8	13543.2	11981.9	0.758468098801191	0.956714136294151	0.530583621611669	1.13030487652209	0.0576452198032525	0.122801892855056	20.8655461546218	"Consumer Discretionary"	"Hotels Restaurants & Leisure"
20031231	61399	"54866110"	"LOWES COMPANIES INC"	"LOW"	1	1	11	5031	25504030	55.38999939	-0.049914233	754450	786354	43556.14758	1126	5568	3578	16109	3736	0	26491	3167	626	228	1471	0	478	208	1.89	0	1.89	8302	478	0	1471	2541	7807	8302	1.55617663499162	1.87087758524315	0.48463591780992	0.940375813057095	0.0913154137438699	0.177186220187907	29.306877984127	"Consumer Discretionary"	"Retailing"
20031231	86783	"74150340"	"PRICELINE COM INC"	"PCLN"	3	25	11	4510	25502020	17.899999619	-0.060367435	203576	38859	695.57608518	267.953	283.513	49.614	337.784	124.524	13.47	863.661	19.365	11.533	0.907	11.916	1.491	0	0	0.28	13.47	0.28	149.107	0	13.47	11.916	7.832	175.207	162.577	5.7143749748055	11.1151287942919	0.518695379295645	1.07768626558492	0.0352769817398101	0.0732945004520935	63.9285700678571	"Consumer Discretionary"	"Retailing"
20031231	40539	"87254010"	"T J X COMPANIES INC NEW"	"TJX"	1	1	11	5651	25504010	22.049999237	-0.023904422	555342	503276	11097.235416	492.33	2240.54	1566.345	3940.489	693.764	0	11981.207	1177.697	198.6	36.432	578.388	0	41.969	71.827	1.09	0	1.09	1409.147	41.969	0	578.388	979.097	2531.342	1409.147	1.4304256086622	1.74474333559976	0.642392860378496	1.79636475115797	0.146780767564635	0.410452564565656	20.2293570981651	"Consumer Discretionary"	"Retailing"
20031231	85348	"98849810"	"YUM BRANDS INC"	"YUM"	1	1	11	5812	25301040	34.400001526	-0.002609456	254430	294153	10118.863649	207	806	1461	5620	2056	0	8380	1471	401	185	618	0	0	-23	2.1	0	2.1	1120	0	0	617	1070	4500	1120	0.551676933607118	0.693360711841205	0.800711743772242	4.01785714285714	0.109786476868327	0.550892857142857	16.380953107619	"Consumer Discretionary"	"Hotels Restaurants & Leisure"
20031231	42534	"47836610"	"JOHNSON CONTROLS INC"	"JCI"	1	1	11	2531	25101010	116.12000275	0.0651498586	78199	90377	10494.577488	136.1	5620.3	5584.1	13127.3	1776.6	97.099	22646	1719.6	558	122.1	682.9	7.2	248.5	122.7	7.56	97.099	7.56	4187.8	248.5	73.5	682.9	1161.6	8866	4261.3	1.00648269192887	1.03085546462277	0.675386408476991	2.080585736747	0.0520213600664265	0.160256259826813	15.359788723545	"Consumer Discretionary"	"Automobiles & Components"
20031231	43553	"91820410"	"V F CORP"	"VFC"	1	1	11	2328	25203010	43.240001678	0.054034438	65738	108062	4672.6010614	514.785	2208.531	871.857	4245.552	956.383	29.992	5207.459	719.839	108.063	61.368	397.933	2.238	0	30.961	3.67	29.992	3.67	1951.307	0	29.987	397.933	611.776	2264.258	1981.294	2.53313444750687	3.12358104597428	0.533324759654339	1.14281777464627	0.0937293901947262	0.200845003316015	11.7820168059945	"Consumer Discretionary"	"Consumer Durables & Apparel"
20031231	30382	"25666910"	"DOLLAR GENERAL CORP"	"DG"	1	1	11	5331	25503020	20.989999771	-0.004498156	429450	337011	7073.8608129	121.318	1323.908	664.501	2333.153	330.337	0	6100.404	569.424	135.3	42.739	264.946	0	50.247	82.867	0.8	0	0.8	1288.068	50.247	0	264.946	434.124	1045.085	1288.068	1.99233409731513	2.17490417621644	0.447928189878675	0.811358561815059	0.113557062052939	0.205692556604154	26.23749971375	"Consumer Discretionary"	"Retailing"
20031231	30681	"68191910"	"OMNICOM GROUP INC"	"OMC"	1	1	11	7311	25401010	87.330001831	0.0987948477	188785	190001	16592.787678	1548.935	7285.945	7762.458	14499.456	2536.595	0	8621.404	1289.069	124.394	57.932	675.883	0	204.104	83.839	3.61	0	3.61	3466.059	204.104	0	675.883	1164.675	11033.397	3466.059	0.938613130016291	1.1381549504036	0.760952479872348	3.18326866334358	0.0466143695322087	0.195000431325606	24.1911362412742	"Consumer Discretionary"	"Media"
20031231	77659	"7589610"	"BED BATH & BEYOND INC"	"BBBY"	3	21	11	5700	25504040	43.349998474	0.0262783319	827083	298384	12934.945945	616.597	1594.391	680.171	2188.842	0	0	3665.164	554.882	74.825	0	302.179	0	0	-13.291	1.03	0	1.03	1451.921	0	0	302.179	480.057	736.921	1451.921	2.34410317405476	3.25063550195466	0.336671628194269	0.507548964440903	0.138054277101773	0.208123582481416	42.0873771592233	"Consumer Discretionary"	"Retailing"
20031231	88661	"18975410"	"COACH INC"	"COH"	1	4	11	3171	25203010	37.75	-0.052459843	464549	185573	7005.38075	229.176	448.538	161.461	617.652	3.535	0	953.226	273.993	30.231	0.695	146.628	0	0	8.778	1.63	0	1.63	426.929	0	0	146.628	243.762	190.723	426.929	2.77799592471247	4.19738512705855	0.308787148750429	0.446732360650132	0.237395815119193	0.343448208015853	23.159509202454	"Consumer Discretionary"	"Consumer Durables & Apparel"
20031231	76605	"5333210"	"AUTOZONE INC"	"AZO"	1	1	11	5511	25504040	85.209999084	-0.109241106	408465	87264	7435.7653601	6.742	1584.994	1675.566	3680.466	1546.845	0	5457.123	1018.245	109.748	86.635	517.604	0	0	65.701	5.45	0	5.45	373.758	0	0	517.604	908.497	3306.708	373.758	0.94594542978313	0.949969144754668	0.898448185637362	8.84718989292537	0.140635452141115	1.38486400291097	15.6348622172477	"Consumer Discretionary"	"Retailing"
20031231	64282	"53271610"	"LIMITED BRANDS INC"	"LTD"	1	1	11	5621	25504010	18.030000687	0.0117187845	365303	516689	9315.9030248	2262	3606	1259	7246	547	0	8445	1148	276	30	496	0	125	36	0.98	0	0.97	4860	125	0	502	872	2386	4860	2.86417791898332	4.66084193804607	0.329285122826387	0.490946502057613	0.069279602539332	0.103292181069959	18.5876295742268	"Consumer Discretionary"	"Retailing"
20031231	79103	"68609110"	"O REILLY AUTOMOTIVE INC"	"ORLY"	3	25	11	5530	25504040	38.560001373	-0.113970563	73784	54665	2107.8824751	21.094	687.485	245.868	1187.592	120.977	0	1511.816	206.491	41.216	8.672	100.087	0	29.448	13.796	1.86	0	1.86	784.285	29.448	0	100.087	165.275	403.307	784.285	2.79615484731645	2.88194885060276	0.339600637255893	0.514235258866356	0.084277260203841	0.12761559892131	20.731183533871	"Consumer Discretionary"	"Retailing"
20031231	46674	"37246010"	"GENUINE PARTS CO"	"GPC"	1	1	11	5012	25501010	33.200000763	0.0640089363	88891	173968	5775.7377327	15.393	3417.626	1016.931	4116.497	625.108	0	8449.3	694.859	69.013	51.538	353.642	0	114.533	27.354	1.92	0	2.03	2312.283	114.533	0	334.101	625.846	1804.214	2312.283	3.36072555561783	3.37586227580829	0.438288671168715	0.78027386786133	0.081161482687829	0.144489666706022	16.3546801788177	"Consumer Discretionary"	"Retailing"
20031231	59010	"36476010"	"GAP INC"	"GPS"	1	1	11	5651	25504010	23.209999084	0.0805673972	901416	895834	20792.30632	3388.514	5739.725	2726.574	9902.004	2895.794	0	14454.709	1772.607	759.978	259.599	477.457	0	0	-14.189	0.55	0	0.55	3658.212	0	0	477.457	1012.629	6243.792	3658.212	2.10510516127565	3.34787869318786	0.630558420295528	1.70678790622304	0.0482182192614747	0.130516492756571	42.1999983345454	"Consumer Discretionary"	"Retailing"
20031231	89533	"98313410"	"WYNN RESORTS LTD"	"WYNN"	3	25	11	7990	25301010	28.010000229	0.125351578	82371	82168	2301.5256988	399.864	402.347	71.176	1733.323	635.432	0	1.018	-45.545	5.743	96.331	-48.892	0	0	0	-0.62	0	-0.62	1001.815	0	0	-48.892	-51.288	731.508	1001.815	5.6528464651006	11.2708075755873	0.422026362080235	0.730182718366165	-0.0282070912345824	-0.0488034217894521	-45.1774197241935	"Consumer Discretionary"	"Hotels Restaurants & Leisure"
20031231	79545	"9972410"	"BORGWARNER INC"	"BWA"	1	4	11	5013	25101010	85.069999695	0.0768354386	39998	27017	2298.3361818	145.1	824.6	470.3	3038.9	634	0	3069.2	394.3	124.5	33.3	174.9	0	0	40	6.46	0	6.46	1260.4	0	0	174.9	269.8	1778.5	1260.4	1.75334892621731	2.06187539868169	0.585244660897035	1.41105998095843	0.0575537200960874	0.138765471278959	13.1687306029412	"Consumer Discretionary"	"Automobiles & Components"
20031231	89508	"14313010"	"CARMAX INC"	"KMX"	1	4	11	5541	25504040	30.930000305	-0.06073489	242177	103632	3205.3377916	34.615	708.745	248.103	917.617	100	0	3969.944	98.295	14.873	2.261	94.802	0	4.041	8.88	0.92	0	0.92	554.569	4.041	0	94.802	83.422	363.048	554.569	2.8566563080656	2.99617497571573	0.39564219058714	0.654648925562013	0.103313255966269	0.170947167980901	33.619565548913	"Consumer Discretionary"	"Retailing"
20031231	25419	"96332010"	"WHIRLPOOL CORP"	"WHR"	1	1	11	3633	25201040	72.650001526	0.0633782446	100880	69657	5060.5811563	249	3865	3589	7361	1134	0	12176	1276	427	137	414	0	236	58	6.03	0	6.03	1301	236	0	414	849	6060	1301	1.07690164391195	1.14628030091948	0.823257709550333	4.65795541890853	0.0562423583752208	0.318216756341276	12.0480931220564	"Consumer Discretionary"	"Consumer Durables & Apparel"
20031231	77606	"50025510"	"KOHLS CORP"	"KSS"	1	1	11	5311	25503010	44.939998627	-0.069950357	1146254	340011	15280.093873	566.076	3284.094	1507.992	6315.503	1058.784	0	9120.287	1255.556	165.173	69.269	643.381	0	171.951	53.322	1.91	0	1.91	3511.917	171.951	0	643.381	1090.383	2803.586	3511.917	2.17779272038578	2.55317667467732	0.443921252194797	0.798306452003279	0.101873279135486	0.183199375156076	23.5287950926702	"Consumer Discretionary"	"Retailing"
20031231	13936	"71859210"	"PHILLIPS VAN HEUSEN CORP"	"PVH"	1	4	11	2253	25203010	17.739999771	0.0079545109	27170	30497	541.01677302	117.121	451.127	127.439	771.7	249.012	0	1404.973	94.713	25.678	22.729	30.437	0	0	13.594	1.1	0	1.1	272.227	0	0	30.437	69.035	499.473	272.227	3.53994460094634	4.45898037492447	0.647237268368537	1.83476657348463	0.039441492808086	0.111807425420697	16.1272725190909	"Consumer Discretionary"	"Consumer Durables & Apparel"
20031231	75100	"88654710"	"TIFFANY & CO NEW"	"TIF"	1	1	11	5944	25504040	45.200000763	-0.002205021	173501	146635	6627.9021119	156.197	1070.388	299.907	1923.586	297.107	0	1706.602	398.879	79.682	18.425	189.894	0	0	-5.209	1.31	0	1.31	1208.049	0	0	189.894	319.197	715.537	1208.049	3.56906641058728	4.08988453087124	0.371980769250764	0.592307927906898	0.0987187471732483	0.157190643757	34.5038173763359	"Consumer Discretionary"	"Retailing"
